ID_MAQUINA,MAQUINA,TIPO_MAQUINA,ESTADO,ultimo_reporte,horas_sin_reporte,tipo_alerta,descripcion,umbral_horas,FECHA,LITROS,promedio_litros
6dd1b12b,[EQUIPO MENOR BARREDORA BROCE BW260] - BROCE] -  ,EQUIPO MENOR,En producción,2026-02-04,1272.0,SIN_REPORTE,Sin reporte hace 1272 hs,24.0,,,
m000092,[T-03 HKVR32] - MASSEY FERGUSON 4292T4K,TRACTOR,En producción,2026-02-05,1248.0,SIN_REPORTE,Sin reporte hace 1248 hs,24.0,,,
m000093,[T-04 SHRB11] - CASE MAXXUM 125 DT,TRACTOR ,En producción,2026-02-06,1224.0,SIN_REPORTE,Sin reporte hace 1224 hs,24.0,,,
m000137,"[C-38 SRPL59] - MAXUS T60 DX 4X4 CABSIM 2,8CC",CAMIONETA,En producción,2026-02-10,1128.0,SIN_REPORTE,Sin reporte hace 1128 hs,24.0,,,
29b79e17,[T-06 VDYH39] - CASE PUMA 155,TRACTOR,En producción,2026-02-10,1128.0,SIN_REPORTE,Sin reporte hace 1128 hs,24.0,,,
m000122,"[C-22 RCZX28] - MITSUBISHI L200 4X2, WORK CR WF 2,4CC",CAMIONETA,En producción,2026-02-12,1080.0,SIN_REPORTE,Sin reporte hace 1080 hs,24.0,,,
m000102,"[C-02 FBWJ56] - NISSAN TERRANO 4X4 2,5cc DOB CAB",CAMIONETA,En producción,2026-02-16,984.0,SIN_REPORTE,Sin reporte hace 984 hs,24.0,,,
m000123,"[C-23 RCWX81] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA,En producción,2026-02-16,984.0,SIN_REPORTE,Sin reporte hace 984 hs,24.0,,,
m000128,[C-29 RWRH49] - JMC VIGUS WOR 4X4,CAMIONETA,En producción,2026-02-23,816.0,SIN_REPORTE,Sin reporte hace 816 hs,24.0,,,
m000120,"[C-20 RCZX23] - MITSUBISHI L200 4X2, WORK CR WF 2,4CC",CAMIONETA,En producción,2026-02-24,792.0,SIN_REPORTE,Sin reporte hace 792 hs,24.0,,,
